theme_label,emotion_label,Compound,Cleaned,Advice_Text
"Time Management, Teamwork, Data Analysis, Personal Growth",Relieved,0.9177,"Throughout this project, I have learned to be logical and patient, among other things. My fascination with narcissism and the dark personality traits stemmed from first year when I explored manipulation for my extended essay. In this project, I got to test my own ideas in real life and get involved in exploring this dark side of personality. Thankfully, there were not many narcissists in our 2nd year labs; however, this was frustrating for data collection as it meant I had an extremely imbalanced sample and could not score the statements the usual way. This required problem-solving, and with the help of my lab tutor, we found a solution. Working in a team was another frustrating experience when trying to adapt a study for everyone; however, we made it work, and everyone collaborated with equal effort in the beginning to find middle ground. From this experience, I have learned that I value working with a team and sharing ideas, as some of the ideas I hadn't thought of. Even if some members stopped turning up, I think I could have made more of an effort to encourage them and give them reasons to keep making the effort they had initially. Furthermore, ANOVA was an accurate analysis to run; I feel confident in using this and would be happy to conduct an ANOVA again next year or explore something different. My biggest realization was that time management is essential - I started this project way in advance and did it in steps, which eased a lot of pressure and made it manageable. This allowed me to still enjoy the project throughout. For next year, I will be more confident using APA format, and this has been a great chance to put everything we have learned into real practice. As I submit, I feel overwhelmed with emotions - joy that it's complete but also sad that it is over as it has been such a journey. I want to continue more research into the dark personality traits.","1. Be logical and patient: This project taught me the importance of being logical and patient, especially when facing challenges or setbacks.

2. Problem-solving skills: Encounters unexpected problems? Don't despair! Find a solution with help from others if needed.

3. Teamwork: Working in a team can be challenging, but it also provides an opportunity to share ideas and learn from each other. Make an effort to encourage team members, especially when their motivation seems to wane.

4. Data collection: Be prepared for potential imbalances in your sample, as this may require innovative solutions.

5. Time management: Start projects early, work on them in steps, and you'll find that the pressure is eased, making it more enjoyable.

6. APA format: By the end of next year, the student will be more confident using APA format after gaining practice with it throughout this project.

7. Continued research: The student expresses a desire to continue exploring dark personality traits in future research.

8. Embrace challenges: Completing projects can bring mixed emotions; however, they are valuable learning experiences and an opportunity for growth."
"Collaboration, Effective Data Management, Clear Study Design",Resilient,0.9982,"Looking back, my research journey did not start smoothly. Allocated a lab group whose interests revolved around conspiracy theories, which clashed with academic goals. Frustrating but taught importance of working with team focused on genuine, evidence-based research. Dove into extensive research in area of interest, reviewing existing studies to find gaps we could address, building strong foundation for project relevant to Perception of Witness Credibility and well-structured. Came up with three potential study designs, inviting teammates to help decide which one to pursue, ensuring everyone felt included and invested in project. Strong understanding of subject and motivation led to leadership role during planning phase. Faced challenge of combining everyone's different ideas into single clear plan while maintaining scientific accuracy. Collaboration tricky due to varying levels of knowledge among group members, often guiding direction of study while keeping everyone engaged. Major obstacle was unexpectedly long duration of study causing many participants to drop out. Despite smooth randomization process, lower-than-expected participant numbers pushed me to recruit more around campus. This was challenging but boosted confidence in promoting research and reaching out to people. Organizing data took effort, analyzing it rewarding, revealing interesting findings. Struggled with urge to overanalyze results, reminding myself of importance of staying disciplined in interpreting data. Experience taught me how to design future studies more efficiently. Working in team presented challenges due to preference for working alone. Project encouraged letting go of control and trusting teammates with different parts of research, key moment for personal growth. Realized tendency to overwork and focus on small details sometimes slowed us down. Created overly complicated data sheets that confused teammates, requiring extra time to explain thought process. This experience highlighted importance of keeping things simple in research. Lessons learned from this experience will be invaluable as move on to third-year dissertation and future projects. Now have deeper appreciation for collaborative research, effective data management, and the importance of clear study design. Excited to apply these insights to upcoming work ensuring scientific accuracy and practicality.","The student offers several pieces of advice in their reflection:

1. Importance of Working with a Focused Team: The student emphasizes the importance of working with a team focused on genuine, evidence-based research. They suggest that clashing interests can be frustrating but are valuable learning experiences.

2. Researching and Finding Gaps: The student recommends diving into extensive research in one's area of interest to find gaps that can be addressed, thereby building a strong foundation for the project.

3. Including Everyone and Decision-Making: When collaborating on a project, it's crucial to ensure everyone feels included and invested by inviting teammates to help decide which study design to pursue.

4. Managing Collaboration and Diversity: The student highlights the challenge of combining different ideas into a single clear plan while maintaining scientific accuracy. They suggest that this can be tricky due to varying levels of knowledge among group members, but it's essential to guide the direction of the study while keeping everyone engaged.

5. Recruiting Participants: If a study unexpectedly takes longer than expected and encounters lower-than-expected participant numbers, the student suggests recruiting more participants around campus. This can be challenging but will boost confidence in promoting research and reaching out to people.

6. Organizing Data and Interpreting Results: The student advises that organizing data requires effort, while analyzing it is rewarding. They also remind themselves (and future students) of the importance of staying disciplined in interpreting data and not overanalyzing results.

7. Designing Future Studies Efficiently: The student shares a lesson learned about designing studies more efficiently based on their experience.

8. Trusting Teammates and Keeping Things Simple: The student realized the importance of letting go of control and trusting teammates with different parts of research, as well as keeping things simple in research to avoid confusion.

9. Personal Growth and Appreciation for Collaborative Research: The student reflects on the project as a key moment for personal growth, emphasizing a deeper appreciation for collaborative research, effective data management, and the importance of clear study design.

10. Embracing Challenges and Looking Ahead: The student expresses excitement about applying these insights to upcoming work to ensure scientific accuracy and practicality. They view challenges as opportunities for growth and learning."
"Research Process, Teamwork, Methodology, Critical Thinking",Reflective,0.9808,"Completing empirical research project on the interaction between extraversion, emotional context, and emotion perception via eye contact was a highly informative experience that deepened my understanding of the research process and improved my skills in psychological inquiry. Initially, developing hypotheses was straightforward and supported extensive literature. However, unexpected results such as introverts outperforming extraverts in accurately perceiving negative emotions challenged assumptions and emphasized the importance of maintaining flexibility in research expectations. One valuable lesson I learned is the significance of methodological rigor, highlighted by notable differences observed when using averages versus summed scores. This underscored my awareness that seemingly minor analytical decisions can critically impact research findings and interpretations. While participating in this project, my teamwork skills were strengthened. Although one group member consistently missed weekly lab sessions, causing coordination and communication difficulties, the rest of us established a strong collaborative relationship. This enabled us to successfully meet essential internal deadlines including critical proposal, ethics form, data collection stages. Importantly, diverse perspectives greatly enriched the analysis and interpretation stages of the research, enabling a more comprehensive understanding of our findings. Reflecting on this experience, I recognize the critical importance of proactive communication, structured planning, clear delegation of roles in group settings. Moving forward, I am committed to further honing my critical thinking skills, optimizing the dissertation experience, and contributing effectively and meaningfully to psychological research.","1. Maintain flexibility in research expectations as unexpected results may challenge assumptions.
2. Pay attention to methodological rigor, as seemingly minor analytical decisions can critically impact research findings and interpretations.
3. Strengthen teamwork skills, particularly emphasizing proactive communication, structured planning, and clear delegation of roles in group settings.
4. Diversity of perspectives enriches analysis and interpretation stages, enabling a more comprehensive understanding of findings.
5. Optimize the dissertation experience by further honing critical thinking skills to contribute effectively and meaningfully to psychological research."
Research Process & Skills Development,Resilient,0.9655,"Completing this mini dissertation was a valuable yet challenging learning experience. One of the most difficult aspects for me was using SPSS. Navigating the software, labeling variables correctly, and interpreting outputs were initially overwhelming. I made mistakes when entering data or selecting tests, which affected my confidence. However, through practice, feedback, and external guidance, I gradually became more comfortable with running appropriate analyses, including a 2x2 mixed ANOVA. This project deepened my understanding of the research process as a whole - from developing a hypothesis to interpreting results and presenting them in APA format. I learned how crucial it is to check assumptions, clearly report findings, and remain critical of my own methodology. For example, using mostly psychology students as participants reduced the generalisability and ecological validity of my findings. Despite the struggles, especially with statistics, I feel proud of what I've learned. The experience improved my academic writing and taught me to approach data more carefully and analytically. Moving forward, I will carry these skills into future assignments and research, feeling more prepared and confident as a psychology student.","The advice given by the student for future students or themselves is:

  1. When faced with challenges in using new software like SPSS, keep practicing and seek feedback and external guidance to become more comfortable.

  2. Be mindful of checking assumptions during data analysis, reporting findings clearly, and maintaining a critical approach towards your own methodology to ensure accurate results.

  3. Considering the participants used in a study can impact its generalizability and ecological validity; try to diversify participant pools if possible.

  4. Carry the skills learned from research experiences into future assignments and research projects, as they will help build confidence as a student in the field of psychology."
"Collaboration, Perseverance, Methodology Improvement",Resilient,0.5447,"The prospect of conducting a mini dissertation initially daunted me, given my preference for independent work. However, my team swiftly developed a strong bond, and I greatly enjoyed collaborating with them. Unfortunately, from December, I was diagnosed with a chronic health condition that required me to be under supervision when leaving home for extended periods. One of my team members and I maintained regular communication about the project during this time, which allowed me to stay involved in our collective effort. This proved vital as I grew increasingly anxious about the project. This experience taught me that even during difficult personal circumstances, projects like these can still be completed through open communication. The data analysis was intimidating due to my weak numerical skills; it took a considerable amount of time and multiple attempts to execute the test correctly. However, learning in this manner offered a sense of accomplishment when I finally ran it without errors, boosting my confidence in conducting statistical tests in the future. I was disheartened not to find a significant result, especially since the Crime Type effect was close to statistical significance. This experience left me eager to conduct further research in search of a meaningful outcome and prompted me to reflect on ways to improve my methodology. I now look forward to conducting more research in the future and exploring various ideas, regardless of whether a significant result is achieved or not. I've realized that when designing a study, it cannot be perfect; there will always be limitations, but the objective should be to continually refine and enhance research over time.","1. During challenging personal circumstances, maintain open communication with your team about projects as it allows you to stay involved and complete tasks effectively.
2. Embrace learning experiences, even if they are intimidating or require considerable effort, such as conducting statistical tests. The sense of accomplishment achieved from overcoming these challenges can boost your confidence for future endeavors.
3. Understand that research cannot be perfect; instead, focus on continually refining and enhancing your methodology over time to achieve meaningful outcomes.
4. Look forward to conducting more research in the future, regardless of whether a significant result is achieved or not."
"Teamwork, Time Management, Personal Growth",Relieved,0.9972,"The mini-dissertation was a group project conducted during the second year. In Term One, we designed an experiment for a 2x2 ANOVA; in Term Two, we executed the experiment and wrote the dissertation. It is essential to note that I previously attempted to complete the second year of this course but had to take a leave of absence due to health issues during the start of the second term. This was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. I found this a stressful experience. I believe I felt pressure because it was my second time trying to complete the project, and it was heavily weighted. However, I also discovered the project significantly easier than anticipated, and even enjoyable in parts, such as creating vignettes or learning about my chosen DV. I felt more confident on the second attempt due to familiarity with each section of the process. What alleviated my stress were staying organized and being early for each phase since I naturally take longer than others with certain aspects of work. The best parts of the project were the group I was in. All members were productive and interactive, so I never felt overwhelmed with work. We frequently met up to discuss the experiment outside of lab and had an active WhatsApp group. It was beneficial having a group to rely on when confused, and in return, I helped out the other members as well. We all chose similar DVs for this purpose, enabling us to share our favorite research articles. I understand that my experience was unusual. I believe that the group dynamic I received was partly due to luck but also because we communicated frequently and effectively. In a future project, I would choose to work with this group again as we were highly productive together, completing each section quickly. Initially, we had the opportunity to perform a within-subjects design (which meant we would need only around 30 participants), but decided because we were all very motivated to do a between groups design, which we believed would be more meaningful. I took an extended time to write up the dissertation, starting in the first term, and working on it consistently for a few hours every week until the deadline. I often underestimate how long it takes me to draft. However, this method does allow me enough time for each section, and I never felt rushed. I am satisfied with the final result, and hopefully, the grade will reflect the effort I put in. In conclusion, this assignment taught me a lot. Although the experience was stressful, I believe this is partly due to my personality and because any new endeavor with a deadline will be stressful. I made some good friends during this process and enjoyed certain sections. The most challenging part was writing up; however, I hope the work I put in this time will make it easier for the next one. This was completed using the Gibbs (1988) reflective account model.","Tips:

1. Stay organized and be early for each phase of the project to alleviate stress, as you may take longer than others with certain aspects of work.
2. Communicate frequently and effectively with your group members, as a positive group dynamic can greatly improve the project experience.
3. Choose a DV that you are interested in, as this can make the project more enjoyable and enable you to share favorite research articles with your group.
4. If given the choice, consider doing a between-groups design over a within-subjects design, as it may be more meaningful for your research.
5. Start writing up the dissertation early and work on it consistently, even if you underestimate how long it will take to draft. This method allows enough time for each section and prevents feeling rushed.
6. Reflecting on your experiences can help identify areas for improvement in future projects and build resilience when facing stressful situations."
Research Methods & Analysis,Motivated,0.9924,"This mini-dissertation project was challenging yet rewarding. Research methods has consistently been my favorite module of the course due to its hands-on nature, which I prefer over the more bookish nature of other modules. The formula of writing lab reports is something I understand better than essay writing, and it also allows me to read and understand scientific journals outside of the course, a valuable skill I've learned during my university years. Our group project was an in-person experiment, which I enjoyed but makes me hesitant about conducting in-person studies next year due to the increased workload, time commitments, and difficulty in acquiring participants, resulting in less generated data. As a first-year student, most of the studies I completed for research credits were online studies, and this is likely the case for most first-year students. This isn't meant to be negative, but rather a consideration of what will yield the best results for my dissertation. If I find a topic I am deeply interested in that requires in-person experiments next year, I will gladly do it and be grateful for the experience gained this year. The analysis was one of the parts of the write-up that I struggled with more than expected, as we've only ever done simple analysis in the past, and this had a multitude of steps. While I understand it well enough in SPSS, when it comes to the results section, I can only hope I provided the correct information in the proper format. I also faced challenges finding resources on the VLE, but once found, they were extremely helpful with formatting, which I find extremely satisfying, albeit a bit nerdy. In conclusion, this project was challenging yet rewarding. I look forward to next year.","Advice:

1. Choose topics that align with your interests and skills, considering the level of required workload, time commitments, and data collection methods (such as in-person experiments versus online studies).
2. Prepare for more complex analysis when conducting a research project, especially if it involves multiple steps. Seek help or additional resources if needed to ensure proper formatting and interpretation of results.
3. Familiarize yourself with the Virtual Learning Environment (VLE) early on to easily find resources that can aid in formatting and other aspects of your work."
"Collaborative Learning, Research Design, Technology Adaptation, Confidence Building",Grateful,0.9954,"To have the opportunity to create a research project during our second year was extremely helpful; I am very grateful as it has got me excited for next year's dissertation. Working in a group was extremely useful, as everyone was proactive and determined to create the best study we could. There were debates about creating the study, but nothing that created an awkward environment or wasn't immediately resolved, strengthening our work ethic. We had issues with creating independent and dependent variables at first, but with help from each other and our lab tutor, we overcame those difficulties. I particularly enjoyed using Gorilla software for this study, as it provided insight into what I can use next year for my research project. Although understanding the software was difficult initially, specifically the data collection spreadsheets, I quickly developed my understanding of the software and created an effective online study. The whole group contributed to creating the Gorilla study, so help was always available when needed. I also enjoyed the statistics side of psychology as I do not mind SPSS, making analysis successful, and brushing up on my skills made me more confident. Overall, this process was extremely fulfilling, and I enjoyed working with this group to create a study. This experience helped me identify my weaknesses and areas for improvement before third year, and I now know what was successful for me, which I can use when brainstorming for my dissertation project.","1. Working in a group can be beneficial, especially when everyone is proactive and determined to create the best study possible.
2. Debates and disagreements are inevitable, but they can strengthen work ethic as long as they are immediately resolved without creating an awkward environment.
3. Seek help from others, including lab tutors, when facing difficulties, such as issues with independent and dependent variables.
4. Familiarize yourself with research software like Gorilla, as it can provide valuable insights for future research projects. Initially, the software may be difficult to understand, but developing your understanding will lead to creating an effective online study.
5. Collaborate with your group when creating the Gorilla study to ensure help is always available when needed.
6. Embrace the statistics side of psychology, as it can make analysis successful and boost confidence.
7. Reflect on the experience to identify weaknesses and areas for improvement before starting a larger project like a dissertation, so you can apply these lessons to future brainstorming sessions."
"Teamwork, Time Management, Research Design","Overwhelmed, Relieved",0.9244,"From the beginning, the mini-dissertation group project felt extremely daunting. Decreased with time and experience. Group of 4 with a close bond helped massively as we understood each other well. Brainstormed many ideas, creativity flowed. Created fundamental ideas early on. Faced challenges due to illness and personal aspects, but tried my best to catch up. Group updated me and helped explain new additions. Experiment was in-person, had to recruit many people which took time. Distributed roles to tackle complexity. Overwhelmed with results, tension rose but quickly resolved with communication. Confused with some features of the experiment, frustrated with understanding. Mixed emotions creating investigation; moments of boredom, yet interest collecting varied results. Participants intrigued with aims, enthusiasm continued. Accomplishment completing project, more confidence for next year. RUNNING HEAD: Mini-Dissertation Project - A Personal Reflection (50 characters max)","Tips for Future Students:
   1. Start early and create fundamental ideas for your project.
   2. Establish a strong bond with your group members to facilitate smooth communication and collaboration.
   3. Be open to brainstorming and creative ideas during the planning phase.
   4. Clearly define roles within the group to tackle complexity efficiently.
   5. Stay engaged and ask for explanations if you're confused about any aspects of the experiment or its results.
   6. Recruit participants patiently, as it may take time.
   7. Maintain open lines of communication with your group to discuss and resolve challenges quickly.
   8. Be prepared for a mix of emotions during the project, but let your enthusiasm continue.
   9. Completing a project will increase your confidence for future endeavors."
Technical Skills & Attitude towards Research,Resilient,0.8209,"This process has taught me much about data collection and research. The sample within this research was not as large as initially thought due to people not completing the study or answering no to consent questions. In future, I will aim to place my research on platforms and encourage more participation. An unforeseen challenge was overthinking all possible confounding variables; however, this reduced the generalizability of certain elements of the research. For future reference, I will weigh up the generalizability of the study against confounding variables and possibly learn when to prioritize one over the other. Positives I have gained from this research include increased confidence in SPSS and a deeper understanding of literature. Initially skeptical about using SPSS, working with my own data set allowed me to experiment, fail at many statistical elements before settling on estimated marginal means with the 2x2 ANOVA A. Additionally, employing a broad scope of research enabled me to analyze it in ways I had not previously considered. It is acceptable for research to contradict what one is trying to find and view this as positive; finding research that contradicted my findings allowed me to generate new discussions and areas for future research. Originally, I believed that non-significant results did not inform the researcher as much as significant results, however, I now recognize this as incorrect. Non-significant results from my research have helped me understand how they point research in a new direction and do not indicate that the research was a waste of time. I enjoyed learning about my perspective on research and considering its real-world implications for the judicial system. In summary, I learned a great deal from this project regarding technical skills, but also recognize that my attitude towards research must change.","1. Aim to place your research on platforms to encourage more participation in future studies.
2. Consider weighing up the generalizability of the study against confounding variables and possibly learn when to prioritize one over the other.
3. Experiment with various statistical elements in SPSS, even if you initially struggle.
4. Embrace research that contradicts what one is trying to find as it can lead to new discussions and areas for future research.
5. Recognize that non-significant results from research do not indicate the research was a waste of time; instead, they point the research in a new direction.
6. Reflect on the real-world implications of your research, particularly in regards to the judicial system.
7. Recognize the need for a change in attitude towards research."
"Empirical Research, Personal Growth, Collaboration, Data Analysis",Resilient,0.9921,"Reflecting on my mini dissertation experience, I've gained valuable insights into both the research process and my personal growth as a researcher. From the beginning, I was fortunate to have a group as passionate and determined as myself. Everyone was excited to conduct in-person research, making the whole process more enjoyable and engaging. I had a clear vision of my research topic from the first Research-Methods lecture, as I had explored it in my own previous studies. Through discussions with my supervisor and research group, we narrowed the focus to mindfulness meditation, making the whole project more manageable and effective long term. At first, we thought we were all researching the same topic together, so for a while, there was some minor confusion with our IVs and DVs but that was soon resolved. The other three members of my group focused on related topics such as mindfulness states during meditation and heart rate during the types of meditation, creating a collaborative atmosphere that motivated us all to dive deeper into our research. One challenge I encountered was analyzing and interpreting the data, but this taught me the importance of being flexible and adjusting interpretations when things do not go as planned. Originally, we had built a single-electrode EEG system to measure brain activity, but after facing difficulties, the decision was made to switch to measuring HRV. Though frustrating, this change happened early, allowing us to adapt quickly and keep moving forward. We spent two months in our experimental room, refining our methods and collecting data. Overall, this experience deepened my appreciation for empirical research and will shape how I approach future projects. For example, I was inspired to use quantitative data for my third-year dissertation as this process of collecting data was exciting. This research has helped guide me to my choices for conducting my data in the future.","The student shares several valuable tips and recommendations:

1. Surround yourself with a passionate and determined group: The student highlights the importance of having a supportive and dedicated team when undertaking research projects. This helps to make the process more enjoyable, engaging, and productive.

2. Narrow your focus: The student advises that it's crucial to have a clear vision for your research topic but also be open to refining it through discussions with your supervisor and peers. A focused project makes it more manageable and effective long term.

3. Collaborate on related topics: Working on different aspects of the same broader subject can foster a collaborative atmosphere that motivates everyone to delve deeper into their research.

4. Adapt and be flexible: The student learned the importance of being adaptable when things don't go as planned, such as data analysis or methodology issues. This flexibility is essential for keeping the project moving forward and learning from challenges encountered.

5. Use quantitative data: Inspired by the process of collecting and analyzing quantitative data for her mini dissertation, the student encourages others to consider using this type of data for future projects, as it can lead to exciting insights and findings."
Collaboration and Project Management,Reflective,0.9877,"Working on this project has highlighted both the strengths and challenges of collaborative group work. Effective communication is essential not just in sharing ideas but in ensuring that everyone has a clear understanding of their role and deadlines. At times, our group struggled with coordination, especially when tasks overlapped or lacked ownership, which led to delays and occasional frustration. However, I also saw the value in diverse perspectives, as each member brought unique insights that enriched the final outcome. In future projects, I would suggest implementing clearer structures from the beginning; assigning roles early, setting regular check-ins, and using shared digital tools for transparency and task tracking. Building a sense of accountability and encouraging open feedback within the group can greatly enhance motivation and performance. Most importantly, I have come to appreciate the importance of flexibility, balancing individual strengths with group dynamics and being adaptable when plans change.","The student suggests several tips for future group work:

1. Implement clearer structures from the beginning: Assign roles early in a project, set regular check-ins, and use shared digital tools for transparency and task tracking.
2. Set deadlines: Ensuring that everyone has a clear understanding of their role and deadlines is crucial for efficient group work.
3. Building accountability: Encouraging open feedback within the group can help foster accountability among members. This, in turn, can enhance motivation and performance.
4. Utilize diverse perspectives: Each member brings unique insights that enrich the final outcome of a project. Embrace these differences and consider them assets rather than obstacles.
5. Embrace flexibility: Be adaptable when plans change, balancing individual strengths with group dynamics to ensure successful collaboration."
"Teamwork, Project Management",Overwhelmed,0.9852,"Overall, this was one of the most challenging assignments I have worked on in my life. From the beginning, the decision-making process was messy. Every week ideas were different from the last and none made sense. It felt impossible to comprehend the assignment, let alone make progress with it. What I learned during the first month of brainstorming is that it may be better to work with people who have some level of intelligence rather than those I am familiar with. Eventually, decisions were made and the process began of forming our experiment. During this stage, task delegation was difficult and there were teammates who did not pull their weight. I wish I could say I learned something about leadership here, but I actually lost respect for two of my previous friends due to their complete lack of will or motivation or even common decency and thoughtfulness towards the rest of the team members. After working through all the initial parts, we eventually made our survey; a task delegated to one team member. However, after putting it out, we realized that some questions had been mistyped. I learned that in the future, I should only trust myself to cross-check other people's work. From that point onwards, there was less teamwork and more duo work, and at this point, I feel disappointed because I believe this study could have been much better if we had a whole team of people who genuinely cared about doing well and maintaining integrity in their work. Next year, I will make an effort to pace myself and have a better plan throughout the project so I won't need to rush it all at the end.","The student provides several pieces of advice or tips for future students:

1. Work with people who have some level of intelligence rather than those one is familiar with. (Advice on team selection)
2. Learn to cross-check other people's work to avoid errors. (Tip for trust and quality control)
3. Make an effort to pace oneself and have a better plan throughout the project to avoid rushing it all at the end. (Advice on time management)
4. Reflecting on team dynamics, the student expresses that it's essential to work with people who genuinely care about doing well and maintaining integrity in their work. (Advice on choosing collaborators)"
"Learning, Personal Growth",Resilient,0.9759,"Initially, the thought of running a 2x2 ANOVA study excited me as I had many ideas for a mini dissertation. However, when my group presented our ideas to our lab tutor, they were declined due to sensitivity concerns and may not have been approved by the ethics committee. When my group member suggested we look into cognitive biases and their impact on decision-making, I felt apprehensive because I had little interest or knowledge in this topic. However, as I conducted research for the mini-dissertation, I became more interested in cognitive biases. I struggled with organizing the data into SPSS due to the volume of data, but my lab tutor guided me on the layout and provided helpful guidelines on the VLE page. I eventually mastered it because data and math have always been my passion. This mini-dissertation was an exciting yet challenging task, where I learned that exploring new topics in psychology, even if initially uncertain, can lead to numerous learning opportunities. Conducting my own mini experiment with my group made me feel more comfortable and prepared for my final year dissertation.","The advice or tip given by the student is: ""Don't be afraid to explore new topics in psychology, even if initially uncertain, as it can lead to numerous learning opportunities."""
"Teamwork, Communication, Data Analysis, Personal Growth",Resilient,0.9763,"Completing this dissertation is a significant achievement, especially considering the mental health challenges I faced throughout the process and the year. At times, it felt impossible; yet I constantly reminded myself to persevere, believing that my efforts would eventually pay off. Looking back, I can now see the fruits of my hard work. I am incredibly grateful to my group members, who were patient and understanding during this period, which ultimately allowed us to meet the deadlines. This experience reinforced the importance of communication in research, as effective collaboration is essential for progress and credibility. One of the most challenging aspects for me was working with SPSS, as data analysis has never been my strongest area. This significantly delayed my progress, particularly when attempting complex tasks such as performing a median split and exporting data from Qualtrics. At times, I felt overwhelmed and doubted my abilities. However, once everything started falling into place, I experienced an immense sense of relief and pride. This journey has been a powerful reminder that the mental challenges I face do not define my capabilities-despite the difficulties, I am still able to achieve success. From this, it's been a reminder that data analysis isn't as difficult; I am excited to implement what I have learned in third year project.","1. Advice: Persist through challenges and believe in your abilities. The fruits of your hard work will eventually pay off.
2. Recommendation: Prioritize effective communication, especially in a research or collaborative setting as it is essential for progress and credibility.
3. Tip: For those struggling with data analysis, consider taking extra time to understand the tools and techniques used, such as SPSS. It may seem challenging at first, but with practice, you will see improvement."
"Planning, Research Design, Data Analysis, Communication",Resilient,0.9963,"The initial stages of formulating my research question proved difficult as we collaboratively identified the broader topic of VR exposure therapy for public speaking anxiety but isolating my specific focus on motivation proved challenging. This difficulty extended to finding existing research that directly assessed motivation or its interaction with VR exposure therapy and anxiety reduction. Lack of direct precedent made it hard to establish my research question and independent variables from the outset, deviating from established protocols, further complicated the process. In future, I will conduct more in-depth research prior to starting a project, ensuring a clear understanding of the research question and independent variables from the very beginning. Accessing VR equipment presented another hurdle due to limited availability and shared use with other research groups resulting in delays during data collection. For future projects, I will prioritize materials that are readily accessible to avoid similar delays.

While ethical considerations were paramount, finding participants with a debilitating fear of public speaking proved difficult. The relaxed environment, privacy, and lack of time constraints might have contributed to this. Additionally, the VR app ""Ovation"", while engaging, may not have provided a sufficiently realistic experience. Many participants found the VR experience enjoyable rather than stressful, potentially impacting the severity of the exposure. In future research, I will consider including a control group to better determine if observed changes are truly due to the treatment. Furthermore, the reliance on self-report measures raises concerns about potential bias from placebo effects or participants' desire to present themselves favorably. A control group would help mitigate these concerns and enhance the reliability of the experiment.

Analyzing the data using SPSS proved to be the most challenging aspect of the project. My understanding of SPSS and statistics, while improving, still requires further development. The complexity of the study design and analyses pushed me to seek guidance from my lab tutor, take detailed notes, and utilize online resources. This experience highlighted the ongoing learning curve in data analysis and reinforced the need for continued practice.

The experiment's design was strong, yielding significant results and exploring motivation, a relatively understudied area. Communication within the group was effective, particularly in coordinating data collection. However, communication with participants could have been improved. The complexity of the ""Ovation"" app, along with technical issues, led to misinterpretations and disruptions during the VR sessions. In future research, I will provide clearer instructions, potentially incorporating visual aids like picture demonstrations or videos.

Despite the challenges, this research contributes to understanding the potential effectiveness of VR exposure therapy for anxiety reduction. My findings suggest that motivation may play a role even with less realistic VR experiences. Future research could build upon this by improving VR realism, incorporating a control group, and investigating different types of motivation. This experience has reinforced the importance of having access to reliable equipment, providing clear participant instructions, and developing statistical analysis skills for smooth and effective research. The difficulties encountered during this project pushed me to problem-solve, take initiative, and enhance my research and critical thinking skills. This reflection has highlighted the continuous learning process inherent in research. Mistakes and challenges are inevitable, and by reflecting on them, I can become a more confident and skilled researcher.","1. Conduct more in-depth research prior to starting a project, ensuring a clear understanding of the research question and independent variables from the very beginning. (Tip for future projects)
2. Prioritize materials that are readily accessible to avoid similar delays. (Tip for future projects)
3. Consider including a control group to better determine if observed changes are truly due to the treatment. (Recommendation for future research)
4. A control group would help mitigate concerns about potential bias from placebo effects or participants' desire to present themselves favorably. (Recommendation for future research)
5. Analyzing data using SPSS requires continued practice and development of skills. (Reflection on the process)
6. Provide clearer instructions, potentially incorporating visual aids like picture demonstrations or videos. (Recommendation for improving participant communication)
7. The difficulties encountered during this project pushed the researcher to problem-solve, take initiative, and enhance research and critical thinking skills. (Reflection on the experience)
8. Mistakes and challenges are inevitable, and by reflecting on them, one can become a more confident and skilled researcher. (Reflection on the continuous learning process in research)"
"Teamwork, Time Management, Problem-Solving, Confidence",Resilient,0.9969,"Engaging in group work was both rewarding and challenging, highlighting the need for effective communication, adaptability, and problem-solving. A key difficulty arose when a team member failed to contribute, leading to an uneven workload. Initially, I found this frustrating, but on reflection, I recognize that clearer role allocation and structured check-ins could have mitigated these issues. In future projects, I will be more proactive in addressing team dynamics, ensuring fair task distribution and earlier intervention when problems arise. While I initially found data analysis intimidating, working through it revealed unexpected strengths in problem-solving and quantitative reasoning. This experience boosted my confidence and has motivated me to engage more deeply with advanced statistical techniques for my dissertation. Delays in the ethics approval process were another challenge, consuming valuable time. However, this reinforced the importance of clear study design and effective time management. In future, I will plan buffer time for revisions and ensure ethical considerations are thoroughly addressed upfront. This experience has refined my critical thinking and teamwork skills, both of which will benefit my dissertation and future professional endeavors. Reflecting on these lessons, I now approach my final-year project with greater confidence, strategic awareness, and an improved research mindset.","1. Be proactive in addressing team dynamics when working in a group, ensuring fair task distribution and earlier intervention when problems arise.
2. Work on advanced statistical techniques to enhance problem-solving skills for the dissertation.
3. Plan buffer time for revisions in future projects.
4. Ensure ethical considerations are thoroughly addressed upfront to avoid delays in the ethics approval process.
5. Reflect on challenges and learn from them to approach future projects with greater confidence, strategic awareness, and an improved research mindset."
