Reflective_Account,Cleaned,Neg,Neu,Pos,Compound,Advice_Text,emotion_label,theme_label
"This project investigated the effects of gender and openness to experience on conformity, requiring a balance between relevance to theories and practicality. I chose openness as my personality trait due to its potential inverse relationship with conformity, a connection I discovered through literature. Operationalizing this trait within a controlled experiment proved challenging. We aimed for balanced gender representation, necessitating adjustments to recruitment strategies. Designing an effective task was another major challenge; it needed to extract levels of conformity while maintaining ethical standards. A pilot test with friends helped identify ambiguities, allowing us to make necessary revisions for clarity and consistency. Data analysis presented issues due to interpreting interaction effects with a small sample size, prompting deeper engagement with statistical issues. As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design. Looking ahead, I feel more confident in completing independent research as I have strengthened my skills in planning and adaptability.","This project investigated the effects of gender and openness to experience on conformity, striking a balance between relevance to theories and practicality. I chose openness as my personality trait due to its potential inverse relationship with conformity, a connection I discovered through literature. Operationalizing this trait within a controlled experiment proved challenging. We aimed for balanced gender representation, necessitating adjustments to recruitment strategies. Designing an effective task was another major challenge; it needed to extract levels of conformity while maintaining ethical standards. A pilot test with friends helped identify ambiguities, allowing us to make necessary revisions for clarity and consistency. Data analysis presented issues due to interpreting interaction effects with a small sample size, prompting deeper engagement with statistical issues. As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design. Looking ahead, I feel more confident in completing independent research as I have strengthened my skills in planning and adaptability.",0,0.782,0.218,0.9905,"As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design.",Relieved,Research Design & Adaptability
"Completing this mini dissertation offered valuable insights into conducting a study, time management, and teamwork. The experience of practicing group research work alleviated initial third-year dissertation apprehensions, although the mini dissertation topic did not directly relate to potential third-year topics. It was an engaging subject that facilitated effective literature search for specific projects.

   Completing this assignment highlighted the need for a clearer timeline in my final year dissertation as I initially progressed ahead of schedule but fell slightly behind during the final stages. This delay was due to our group's determination to reach our participant aim, extending data collection slightly. Additionally, technical issues such as my laptop breaking prevented me from using SPSS for specific analyses and figure manipulation, necessitating manual adjustments for descriptive statistics.

   Collaborating in a group proved beneficial, allowing for idea exchange, but caused confusion during the final stages and write-up, particularly with variables. In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted.

   Overall, I anticipate less stress when writing my real dissertation as I will plan it more effectively than this assignment, although I still have concerns about the write-up and result interpretation. However, I believe that by the end of my final year, I will be able to seek guidance from my supervisor when unsure, having learned from this paper.","Completing this mini dissertation provided valuable insights into conducting a study, time management, and teamwork. The experience of practicing group research work lessened initial third-year dissertation apprehensions, although the mini dissertation topic did not directly relate to potential third-year topics. It was an engaging subject that facilitated an effective literature search for specific projects. Completing this assignment underscored the need for a clearer timeline in my final year dissertation as I initially progressed ahead of schedule but fell slightly behind during the final stages, due primarily to our group's determination to reach our participant aim and minor technical issues such as laptop failure preventing me from using SPSS for specific analyses. Collaborating in a group proved advantageous, allowing for idea exchange, but caused confusion during the final stages and write-up, particularly with variables. In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted to avoid such confusion. Overall, I anticipate less stress when writing my real dissertation as I will plan it more effectively than this assignment. However, I still have concerns about the write-up and result interpretation. Nonetheless, by the end of my final year, I expect to seek guidance from my supervisor when unsure, having learned from this paper.",0.089,0.805,0.105,0.583,"In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted to avoid such confusion.",Relieved,"Time Management, Teamwork, Planning"
"Conducting this research project has been both challenging and rewarding. I expected the study's design to be straightforward, but coordinating a self-report and collecting behavioral data online proved complex. A significant challenge was ensuring that participants completed the WCST in a quiet environment as instructed due to the remote nature of the task, limiting our control over external factors. Throughout the project, I gained confidence in managing multi-stage data collection and understanding practical considerations involved in conducting an experiment firsthand. Working as part of a group was complex at times but worth the lengthy process. As I submit this project, I feel more confident and prepared to tackle my final year dissertation, with a better understanding of the key components necessary for me to complete it to a high standard.","Conducting this research project has been both challenging and rewarding. I expected the study's design to be straightforward, but coordinating a self-report and collecting behavioral data online proved complex. A significant challenge was ensuring that participants completed the WCST in a quiet environment as instructed due to the remote nature of the task, limiting our control over external factors. Throughout the project, I gained confidence in managing multi-stage data collection and understanding practical considerations involved in conducting an experiment firsthand. Working as part of a group was complex at times but worth the lengthy process. As I submit this project, I feel more confident and prepared to tackle my final year dissertation, with a better understanding of the key components necessary for me to complete it to a high standard.",0,0.793,0.207,0.9818,,Relieved,"Research Design, Teamwork, Confidence, Personal Growth"
"This process enabled development of new skills for designing and conducting a study. Conducting this study was valuable learning experience offering opportunities to experiment with various techniques and skills to improve research skills. Initially, the idea of in-person experiment felt extremely intimidating; however, working with group made task easier as we could support each other. Completing an in-person study brought disadvantages such as lengthy recruitment and management of participant schedules, difficulty finding participants within time frame, thorough planning needed for consistent procedure application to avoid impacting validity of findings, managing unexpected challenges like participants not showing up, and requirement for problem-solving skills. Data analysis seemed daunting at first but proved interesting aspect. As I navigated the findings, felt great sense of achievement; however, realized results faced errors due to chosen measures. Experienced discouragement at this point which caused doubt in research abilities. Reflection on experience taught essential skills such as calculating new variables, creating measures, and employing SPSS for reliability testing. Mini-dissertation increased confidence in approaching final year dissertation by providing insight into advantages and disadvantages of different techniques and procedures for independent research.","This process enabled the development of new skills for designing and conducting a study. Conducting this study was a valuable learning experience offering opportunities to experiment with various techniques and skills to improve research skills. Initially, the idea of in-person experiment felt extremely intimidating; however, working with the group made the task easier as we could support each other. Completing an in-person study brought disadvantages such as lengthy recruitment and management of participant schedules, difficulty finding participants within the time frame, thorough planning needed for consistent procedure application to avoid impacting the validity of findings, managing unexpected challenges like participants not showing up, and the requirement for problem-solving skills. Data analysis seemed daunting at first but proved an interesting aspect. As I navigated the findings, I felt a great sense of achievement; however, I realized that the results faced errors due to chosen measures. This experience caused discouragement and doubt in my research abilities. Reflection on this experience taught essential skills such as calculating new variables, creating measures, and employing SPSS for reliability testing. The mini-dissertation increased my confidence in approaching the final year dissertation by providing insight into the advantages and disadvantages of different techniques and procedures for independent research.",0.089,0.754,0.157,0.9343,,Resilient,Skill Development & Research Experience
"This mini-dissertation project was a transformative academic experience, deepening my understanding of research design, analysis, and the practical challenges of conducting a study. Collaborating with others taught me how to accurately convey ideas, manage shared responsibilities, and adapt when our perspectives differed. Learning how to balance independence and teamwork was a crucial skill that I will apply to my third-year dissertation and beyond. One of the most enjoyable aspects was collecting and assessing my own data, which made statistics feel more important and real. Using Jamovi to perform my ANOVA and assess effect sizes gave me a strong sense of control and confidence. Although my findings were not significant, I learned that even unexpected discoveries can be useful when reviewed thoughtfully. Looking back, I'm proud of how far I've comeâfrom feeling overwhelmed by the project to now feeling much more confident in my ability to plan, conduct, and report on a whole experiment. This project has provided a solid foundation for my future research, and I am now really enthusiastic to tackle my third-year dissertation with the knowledge and skills I've acquired.","This mini-dissertation project was a transformative academic experience, deepening my understanding of research design, analysis, and practical challenges of conducting a study. Collaborating with others taught me how to accurately convey ideas, manage shared responsibilities, and adapt when our perspectives differed. Learning how to balance independence and teamwork was a crucial skill that I will apply to my third-year dissertation and beyond. One of the most enjoyable aspects was collecting and assessing my own data, which made statistics feel more important and real. Using Jamovi to perform ANOVA and assess effect sizes gave me a strong sense of control and confidence. Although my findings were not significant, I learned that even unexpected discoveries can be useful when reviewed thoughtfully. Looking back, I'm proud of how far I've come—from feeling overwhelmed by the project to now feeling much more confident in my ability to plan, conduct, and report on a whole experiment. This project has provided a solid foundation for my future research, and I am now really enthusiastic to tackle my third-year dissertation with the knowledge and skills I've acquired.",0.008,0.799,0.193,0.9859,,Relieved,"Research Design, Teamwork, Confidence, Data Analysis, Planning"
"Initial efforts started with working as a team to produce ideas and ended with achieving our goal of conducting an experiment, learning the importance of teamwork. While improving my teamwork skills, I have simultaneously improved my intrapersonal skills and found myself more aware of how to utilize my strengths and weaknesses. We attended lab sessions together and set individual work to achieve an early ethics submission in preparation for data collection to meet internal deadlines. Unfortunately, we had to fabricate data due to not receiving enough participants, which could be attributed to only having smokers. I have learnt from personal experience and feedback from my lab tutor to ensure a wider sample population in the future to obtain a larger sample.","While working as a team, we generated ideas and eventually reached our goal of executing an experiment. This process underscored the significance of teamwork. As I honed my teamwork abilities, I simultaneously enhanced my intrapersonal skills, becoming more cognizant of leveraging my strengths and weaknesses. We participated in lab sessions collectively and assigned individual tasks to prepare for an early ethics submission ahead of data collection to adhere to internal deadlines. Regrettably, we had to fabricate data due to the lack of sufficient participants, a situation possibly caused by having only smokers. I have gained insight from personal experience and feedback from my lab tutor to broaden the participant pool in the future to secure a larger sample size.",0.06,0.84,0.101,0.5267,,Resilient,"Teamwork, Personal Growth"
"I was nervous but excited when I first started my research project. It was daunting to think that I would be undertaking such a big task as I've never conducted my own study before. However, completing the task was fulfilling yet frustrating. Narrowing the research scope was something I struggled with initially. I spent a significant amount of time refining the study question and choosing the most suitable measures because I did not know what to focus on in the components. I realized the importance of having clear instructions and rules for the participants as much as data gathering is concerned. Due to health reasons, I missed out on several sessions and fell behind significantly but with the help of other researchers, I was able to catch up. Data collection also posed challenges such as dealing with incomplete responses or misread questions. These issues made it clear that I had to be prepared for unexpected difficulties.

   My first challenge was data analysis. It was very difficult to understand the data and ensure that my statistical tests were accurate. At times, I wondered if I was doing it right. With help and time to proofread my own work, I gradually gained confidence in using SPSS and interpreting results, which was my biggest struggle as I didn't know how to interpret the results or what information is needed.

   Through this experience, I have learned the value of patience, flexibility, and persistence in research. It has also reinforced the significance of planning, particularly choosing reliable measurements and anticipating problems. Overall, the process deepened my understanding of research processes and increased my confidence in pursuing more investigations despite periods of frustration and unclear moments. Ultimately, the mini-dissertation has made me feel more confident about tackling the final year dissertation now because I understand more about data analysis and data collection and have more confidence in what I can do.","I was nervous but excited when I first started my research project. It was daunting to think that I would be undertaking such a big task as I've never conducted my own study before. However, completing the task was fulfilling yet frustrating. Narrowing the research scope was something I struggled with initially. I spent a significant amount of time refining the study question and choosing the most suitable measures because I did not know what to focus on in the components. I realized the importance of having clear instructions and rules for the participants as much as data gathering is concerned. Due to health reasons, I missed out on several sessions and fell behind significantly but with the help of other researchers, I was able to catch up. Data collection also posed challenges such as dealing with incomplete responses or misread questions. These issues made it clear that I had to be prepared for unexpected difficulties.

My first challenge was data analysis. It was very difficult to understand the data and ensure that my statistical tests were accurate. At times, I wondered if I was doing it right. With help and time to proofread my own work, I gradually gained confidence in using SPSS and interpreting results, which was my biggest struggle as I didn't know how to interpret the results or what information is needed.

Through this experience, I have learned the value of patience, flexibility, and persistence in research. It has also reinforced the significance of planning, particularly choosing reliable measurements and anticipating problems. Overall, the process deepened my understanding of research processes and increased my confidence in pursuing more investigations despite periods of frustration and unclear moments.

Ultimately, the mini-dissertation has made me feel more confident about tackling the final year dissertation now because I understand more about data analysis and data collection and have more confidence in what I can do.",0.077,0.745,0.178,0.9902,It was daunting to think that I would be undertaking such a big task as I've never conducted my own study before. || It was very difficult to understand the data and ensure that my statistical tests were accurate.,Resilient,"Planning, Data Analysis, Perseverance"
"My mini-dissertation project offered valuable lessons on teamwork, communication, and the research process. The prospect of conducting a study felt daunting due to self-doubt over my skills. However, the strong bond within my team eased these worries. Collaborating with a peer strengthened my grasp of SPSS, data interpretation, dividing participants into groups, which boosted my confidence in writing up results and discussion. Initially, formulating the research question was challenging due to numerous ideas about what to investigate. However, I'm satisfied with our final topic as it was relevant to our interests. Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design. This experience broadened my understanding of neuroticism, love languages, and relationship satisfaction, enriching knowledge about social psychology, personality, and romantic relationships. In retrospect, I could have deepened my learning by engaging with more literature prior and systematically addressing questions that arose. The process reinforced the importance of precise data collection in strengthening critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes. Overall, this experience has prepared me well for my final-year dissertation, equipping me with essential research skills to design and analyze psychological studies with greater confidence.","My mini-dissertation project taught valuable lessons on teamwork, communication, and the research process. The prospect of conducting a study initially felt daunting due to self-doubt about my skills. However, the strong bond within my team eased these worries. Collaborating with a peer strengthened my grasp of SPSS, data interpretation, dividing participants into groups, which boosted my confidence in writing up results and discussion. Initially, formulating the research question was challenging due to numerous ideas about what to investigate. However, I am satisfied with our final topic as it was relevant to our interests. Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design. This experience broadened my understanding of neuroticism, love languages, and relationship satisfaction, enriching knowledge about social psychology, personality, and romantic relationships. In retrospect, I could have deepened my learning by engaging with more literature prior to the study and systematically addressing questions that arose. The process reinforced the importance of precise data collection in strengthening critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes. Overall, this experience has prepared me well for my final-year dissertation, equipping me with essential research skills to design and analyze psychological studies with greater confidence.",0.028,0.75,0.222,0.9919,"Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design.",Relieved,"Research Process, Teamwork, and Personal Growth"
"Initially, I was nervous about this research assignment because creating and carrying out an experiment seemed intimidating. However, as the project developed, I became more involved with the process. One of the most enjoyable components was designing the experimental program; despite having no prior coding knowledge, my partner and I were able to create the WCST task through independent study with online resources. This unexpected accomplishment has given me faith in my capacity to learn new technical abilities when necessary. The group dynamics posed substantial obstacles. With only two of us actively participating after other members disengaged, the workload was substantial. While managing all areas of the project with two individuals required careful coordination, we were able to establish a productive working cadence. This experience demonstrated both the challenges of collaborative work when participation is uneven and the unexpected efficiency that might arise in a smaller, more devoted team. In retrospect, I realize that my lack of straightforward communication about these difficulties. Rather than addressing the unequal involvement, I withdrew from group contacts, which I now realize was unproductive. This has taught me valuable lessons about professional accountability and conflict resolution, which I will employ in future joint projects. The project's challenges were eventually outweighed by its rewards. Problem-solving through technical obstacles and seeing our technique implemented offered true gratification. I've learnt not only certain research skills, but also increased confidence in my ability to conquer challenges. This encounter transformed my perception of academic work as both rigorous and creatively fascinating.","Initially I was nervous about this research assignment because creating and carrying out an experiment seemed intimidating. However, as the project developed, I became more involved with the process. One of the most enjoyable components was designing the experimental program; despite having no prior coding knowledge, my partner and I were able to create the WCST task through independent study with online resources. This unexpected accomplishment has given me faith in my capacity to learn new technical abilities when necessary. The group dynamics posed substantial obstacles. With only two of us actively participating after other members disengaged, the workload was substantial. While managing all areas of the project with two individuals required careful coordination, we were able to establish a productive working cadence. This experience demonstrated both the challenges of collaborative work when participation is uneven and the unexpected efficiency that might arise in a smaller, more devoted team. In retrospect, I realize that my lack of straightforward communication about these difficulties. Rather than addressing the unequal involvement, I withdrew from group contacts, which I now realize was unproductive. This has taught me valuable lessons about professional accountability and conflict resolution, which I will employ in future joint projects. The project's challenges were eventually outweighed by its rewards. Problem-solving through technical obstacles and seeing our technique implemented offered true gratification. I've learnt not only certain research skills, but also increased confidence in my ability to conquer challenges. This encounter transformed my perception of academic work as both rigorous and creatively fascinating.",0.062,0.76,0.177,0.9768,,Relieved,"Collaboration Challenges, Learning & Growth"
"The idea of a mini dissertation seemed challenging initially, but it soon became one of my favorite modules. Working in a group did have disadvantages; for instance, several members of my group had personal obligations preventing them from attending lab sessions. However, we all communicated effectively, allowing us to stay on track and meet deadlines early. This experience taught me not just the challenges of group work but also the benefits of teamwork and developing strong communication skills. I initially lacked confidence in data analysis; using SPSS and acquiring data could be intimidating. Despite the difficulty, I followed step-by-step instructions using ANOVA worksheets and was quite satisfied with the results when I collected data via graphs and SPSS outputs. Data collection was one of my concerns, yet our group managed to recruit numerous participants in a short time frame. Both parts of this module boosted my confidence in conducting future research. Performing my own research has made me aware of how easy it is for research to have limitations, such as participant biases and cultural differences. I understand that critically evaluating conducted research and pointing out any drawbacks is crucial. This mini dissertation has given me more trust for my final-year project; although I will need to complete this independently, the learning experience has taught me how to analyze large amounts of data and identify various measurements.","The idea of a mini dissertation appeared initially challenging, but it soon became one of my favorites. Working in a group had disadvantages; for example, several members had personal obligations preventing them from attending lab sessions. However, we communicated effectively, allowing us to stay on track and meet deadlines early. This experience taught me not just the challenges of group work but also the benefits of teamwork and developing strong communication skills. I initially lacked confidence in data analysis; using SPSS and acquiring data could be intimidating. Despite the difficulty, I followed step-by-step instructions using ANOVA worksheets and was quite satisfied with the results when I collected data via graphs and SPSS outputs. Data collection was one of my concerns, yet our group managed to recruit numerous participants in a short time frame. Both parts of this module boosted my confidence in conducting future research. Performing my own research has made me aware of how easy it is for research to have limitations, such as participant biases and cultural differences. I understand that critically evaluating conducted research and pointing out any drawbacks is crucial. This mini dissertation has given me more trust for my final-year project; although I will need to complete this independently, the learning experience has taught me how to analyze large amounts of data and identify various measurements.",0.038,0.791,0.171,0.9894,,Relieved,"Teamwork, Data Analysis, Confidence, Research Integrity"
"Reflecting on the decision-making process of the research project, our group started with numerous ideas for various topics and eventually confirmed the topic in question. I have learned a great deal about the complexity of studying the impact of media on public perception. One of the initial challenges we faced was narrowing down the topic. Initially, we wanted to do something related to criminal psychology, but this was too broad for us to finalize a suitable and appropriate topic. In the end, we focused on something we encounter frequently in real life and implemented it. Throughout the project, I had difficulties with data collection, particularly recruiting a diverse enough group of participants. The majority of respondents were college students, which may limit the generalizability of the findings. Additionally, because of our low impact, we often struggled with anxiety during the survey process as to whether or not we would get enough responses to the questionnaire. In submitting my thesis, I felt both a sense of accomplishment and relief. I was satisfied with the results of the research and the insights it provided into the role of media in shaping public fear. As I look forward to next year, I am more confident in my research abilities, but I also recognize that there is still much to learn about methodology and academic writing. This project has been a valuable learning experience, and I look forward to further improving my abilities in future research so that I can use my expertise to study criminal psychology topics next year.","Reflecting on the decision-making process of the research project, our group started with numerous ideas for various topics and eventually confirmed the topic in question. I learned a great deal about the complexity of studying the impact of media on public perception. One initial challenge was narrowing down the topic; we wanted to do something related to criminal psychology but found it too broad. In the end, we focused on a topic encountered frequently in real life and implemented it. Throughout the project, I faced difficulties with data collection, particularly recruiting a diverse enough group of participants. The majority of respondents were college students, which may limit the generalizability of findings. Anxiety during the survey process was common due to concerns about getting enough responses to the questionnaire. Upon submitting my thesis, I felt both accomplishment and relief. Satisfied with the research results, it provided insights into the role of media in shaping public fear. Looking forward to next year, I am more confident in my research abilities but recognize there is still much to learn about methodology and academic writing. This project has been a valuable learning experience, and I look forward to improving my abilities further for future research on criminal psychology topics.",0.062,0.801,0.137,0.9571,,Relieved,Research Methodology and Personal Growth
"Throughout the journey of writing this mini-dissertation, I have learned many valuable lessons. I've had to be patient with myself in times when I couldn't grasp an understanding and have had to keep pushing myself to do my best. Being a team player was a big part of this assignment; it has really helped me develop my teamwork skills, and I have gained much respect for those who work in teams consistently. Working as part of a team has been a great experience, having others in the same position as me who also supported me. I hope I will carry the lessons and skills I've learned and practiced while completing this mini dissertation into my next and final year.","Throughout the journey of writing this mini-dissertation, I have learned many valuable lessons. I've had to be patient with myself in times when understanding eluded me and have had to keep pushing myself to do my best. Being a team player was a big part of this assignment; it has really helped me develop my teamwork skills, and I have gained much respect for those who work in teams consistently. Working as part of a team has been a great experience, having others in the same position as me who also supported me. I hope I will carry the lessons and skills I've learned and practiced while completing this mini dissertation into my next and final year.",0,0.831,0.169,0.9694,,Resilient,"Teamwork, Personal Growth"
"Overall, the Mini-Dissertation experience was a rollercoaster; it was enjoyable but also stressful. Confidence grew significantly throughout. Working with a group was fun, fostering teamwork and communication skills, although it did not fully alleviate confusion experienced. The process was unique to each individual, and fast-paced, making one feel behind at times. However, valuable lessons were learned for next year. Initial encounter with exported data on Excel was overwhelming, but upon understanding, realized its simplicity. Running and interpreting the data was difficult due to extended time since writing a lab report. Nonetheless, managed to complete in the end. In conclusion, this process initiated thoughts about potential 3rd-year research topics and provided a rough idea of the process. Skills such as critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics) were acquired. Overall, the experience was incredibly beneficial, despite being stressful and confusing at times.","Overall, the Mini-Dissertation experience was a rollercoaster; it was enjoyable but also stressful. Confidence grew significantly throughout. Working with a group fostered teamwork and communication skills, although it did not fully alleviate confusion experienced. The process was unique to each individual, and fast-paced, making one feel behind at times. However, valuable lessons were learned for next year. The initial encounter with exported data on Excel was overwhelming, but upon understanding, realized its simplicity. Running and interpreting the data was difficult due to extended time since writing a lab report; nonetheless, it was managed in the end. In conclusion, this process initiated thoughts about potential 3rd-year research topics and provided a rough idea of the process. Skills such as critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics) were acquired. Overall, the experience was incredibly beneficial, despite being stressful and confusing at times.",0.072,0.773,0.155,0.9416,,Relieved,"Learning Experience, Skills Acquisition"
"What a task; the mini dissertation was not easy. This was the most stressful piece of work given. The decision-making process was done with me and two coworkers. Challenges were faced during the write-up for this piece of work. I have had many things going on related to family and personal struggles that have made it difficult to do this piece of work. I deeply regret and am saddened by the piece of work created, although I am a bit happy I made this mini dissertation on my own. I should have asked for help earlier. Despite everything going on within my life, I struggled with the stats part, especially the SPSS part. I know I've done it wrong, but there is nothing I can do now. This has given me an insight into the actual one in third year, for which I need to take all lessons and shortcomings to do better. I hope I pass this. For the third year, I need to work on not letting life get in the way, take it step by step, and avoid accumulating tasks. I also need to work on my SPSS stats to reduce stress. Finally, I just need to be more aware and work accordingly. When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work. As I feel now with disappointment and acknowledgment of my shortcomings, I need to do better and will. I am serious about my education and career within this field.","What a task; the mini dissertation was not easy. This was the most stressful piece of work given. The decision-making process was done with me and two coworkers. Challenges were faced during the write-up for this piece of work. I have had many things going on related to family and personal struggles that have made it difficult to do this piece of work. I deeply regret and am saddened by the piece of work created, although I am a bit happy I made this mini dissertation on my own. I should have asked for help earlier. Despite everything going on within my life, I struggled with the stats part, especially the SPSS part. I know I've done it wrong, but there is nothing I can do now. This has given me an insight into the actual one in third year, for which I need to take all lessons and shortcomings to do better. I hope I pass this. For the third year, I need to work on not letting life get in the way, take it step by step, and avoid accumulating tasks. I also need to work on my SPSS stats to reduce stress. Finally, I just need to be more aware and work accordingly. When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work. As I feel now with disappointment and acknowledgment of my shortcomings, I need to do better and will. I am serious about my education and career within this field.",0.089,0.808,0.104,0.8575,"When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work.",Overwhelmed,"Time Management, Personal Growth, Stats & SPSS Skills, Resilience"
"Through completing this mini-dissertation project, I have learned and revisited a variety of different skills and research techniques necessary to complete the task, making the experience surprisingly enjoyable and not as overwhelming as initially thought. Working with a group helped me overcome initial fears regarding this assignment, such as workload, but collaborating and discussing with peers boosted my confidence and morale. The use of software such as SPSS and Qualtrics allowed me to develop analysis skills and further understand data interpretation, as I experienced it first-hand with personally collected data, making it easier to comprehend. When analyzing my data, I learned how crucial it is to be thorough with data collection, as well as developing a study with a sample that is more feasible or easily sought after, which was an issue I encountered. This experience increased my confidence in areas where I felt the most weak and my confidence in dissertation-style writing as a whole, which I will carry with me when writing my final dissertation in my final year.","Through completing this mini-dissertation project, I have learned and revisited various skills and research techniques necessary for the task, making the experience surprisingly enjoyable and not as overwhelming as initially thought. Working with a group helped me overcome initial fears regarding this assignment, such as workload, but collaborating and discussing with peers boosted my confidence and morale. The use of software such as SPSS and Qualtrics allowed me to develop analysis skills and further understand data interpretation, as I experienced it first-hand with personally collected data, making it easier to comprehend. When analyzing my data, I learned how crucial it is to be thorough with data collection, as well as developing a study with a sample that is more feasible or easily sought after, which was an issue I encountered. This experience increased my confidence in areas where I felt the most weak and my confidence in dissertation-style writing as a whole, which I will carry with me when writing my final dissertation in my final year.",0.032,0.8,0.168,0.9787,,Relieved,"Skill Development, Collaboration, Data Analysis, Confidence"
"I was always aware since year 1 that it was necessary for all students to complete a dissertation by the end of year 3, however this thought had been rather scary until now. This mini-dissertation provided an opportunity to practice the skills required to perform well in my dissertation next year. It was far from easy or perfect, but I learned immensely during the low moments when I felt lost in what I was doing, and from any mistakes made along the way. This experience now leaves me feeling prepared and much more at ease for the academic year ahead. To elaborate, analyzing the data collected from my research proved challenging and overwhelming at times. However, the more time I spent with SPSS, I was able to reach correct conclusions. For me, the excitement I have derived from figuring out how to navigate data analysis has made it the best part of this project for me. It provided a great sense of achievement knowing that I overcame any doubts or confusion in my mind. Another highlight of this project was receiving responses from our study. My team and I were pleasantly surprised by the number of participants we got so quickly, making the data collection process smooth sailing. Working as a group has been one of the main reasons I felt more comfortable starting this project. At first, I was worried about working with others due to concerns over conflicting ideas, however this was not the case. My team and I had similar interests going into this, and each member brought different ideas and solutions to issues. Communication has been good, despite not everyone being in the labs at the same times. In particular, I took some time off for an unexpected Pro-Social Behaviour 15 last-minute surgery. I ensured to keep in touch with my team while recovering, asking what I could do from home. My team was extremely thoughtful and helpful during this time. Designing my own research, analyzing and reporting it has given me a great insight into what being a psychologist is. Our essays mean we must examine many reports and studies, and it has been enlightening to experience the process of these studies from start to finish.","I was always aware since year 1 that it was necessary for all students to complete a dissertation by the end of year 3; however, this thought had been rather scary until now. This mini-dissertation provided an opportunity to practice the skills required to perform well in my dissertation next year. It was far from easy or perfect, but I learned immensely during the low moments when I felt lost in what I was doing, and from any mistakes made along the way. This experience now leaves me feeling prepared and much more at ease for the academic year ahead. To elaborate, analyzing the data collected from my research proved challenging and overwhelming at times. However, the more time I spent with SPSS, I was able to reach correct conclusions. For me, the excitement I have derived from figuring out how to navigate data analysis has made it the best part of this project for me. It provided a great sense of achievement knowing that I overcame any doubts or confusion in my mind. Another highlight of this project was receiving responses from our study. My team and I were pleasantly surprised by the number of participants we got so quickly, making the data collection process smooth sailing. Working as a group has been one of the main reasons I felt more comfortable starting this project. At first, I was worried about working with others due to concerns over conflicting ideas; however, this was not the case. My team and I had similar interests going into this, and each member brought different ideas and solutions to issues. Communication has been good, despite not everyone being in the labs at the same times. In particular, I took some time off for an unexpected Pro-Social Behaviour 15 last-minute surgery. I ensured to keep in touch with my team while recovering, asking what I could do from home. My team was extremely thoughtful and helpful during this time. Designing my own research, analyzing and reporting it has given me a great insight into what being a psychologist is. Our essays mean we must examine many reports and studies, and it has been enlightening to experience the process of these studies from start to finish.",0.05,0.776,0.174,0.9948,"I ensured to keep in touch with my team while recovering, asking what I could do from home.",Relieved,"Research Design, Data Analysis, Teamwork, Communication"
