theme,count,avg_sentiment,sample_comments
"Teamwork, Project Management",1,0.9852,"Overall, this was one of the most challenging assignments I have worked on in my life. From the beginning, the decision-making process was messy. Every week ideas were different from the last and none made sense. It felt impossible to comprehend the assignment, let alone make progress with it. What I learned during the first month of brainstorming is that it may be better to work with people who have some level of intelligence rather than those I am familiar with. Eventually, decisions were made and the process began of forming our experiment. During this stage, task delegation was difficult and there were teammates who did not pull their weight. I wish I could say I learned something about leadership here, but I actually lost respect for two of my previous friends due to their complete lack of will or motivation or even common decency and thoughtfulness towards the rest of the team members. After working through all the initial parts, we eventually made our survey; a task delegated to one team member. However, after putting it out, we realized that some questions had been mistyped. I learned that in the future, I should only trust myself to cross-check other people's work. From that point onwards, there was less teamwork and more duo work, and at this point, I feel disappointed because I believe this study could have been much better if we had a whole team of people who genuinely cared about doing well and maintaining integrity in their work. Next year, I will make an effort to pace myself and have a better plan throughout the project so I won't need to rush it all at the end. || Overall, this was one of the most challenging assignments I have worked on in my life. From the beginning, the decision-making process was messy. Every week ideas were different from the last and none made sense. It felt impossible to comprehend the assignment, let alone make progress with it. What I learned during the first month of brainstorming is that it may be better to work with people who have some level of intelligence rather than those I am familiar with. Eventually, decisions were made and the process began of forming our experiment. During this stage, task delegation was difficult and there were teammates who did not pull their weight. I wish I could say I learned something about leadership here, but I actually lost respect for two of my previous friends due to their complete lack of will or motivation or even common decency and thoughtfulness towards the rest of the team members. After working through all the initial parts, we eventually made our survey; a task delegated to one team member. However, after putting it out, we realized that some questions had been mistyped. I learned that in the future, I should only trust myself to cross-check other people's work. From that point onwards, there was less teamwork and more duo work, and at this point, I feel disappointed because I believe this study could have been much better if we had a whole team of people who genuinely cared about doing well and maintaining integrity in their work. Next year, I will make an effort to pace myself and have a better plan throughout the project so I won't need to rush it all at the end."
"Teamwork, Research Design, Personal Growth",1,0.9862,"This project started out feeling slow, particularly as one desires immediate progress with conducting/making. Patience with the team was valued, especially at the beginning. As we progressed, I enjoyed the creative aspect of designing an experiment with various variables and then implementing it in our survey, which was a satisfying process to reflect upon. I felt fortunate to work with a group sharing similar work ethic and mindset about the overall process, creating a smooth working environment with free-flowing ideas, mutual respect, and inspiration. They further motivated me, especially during occasional periods of apathy. Initially, I found an overwhelming amount of reading involved, and I was unsure where to begin. However, once immersed, one paper led to another, and soon I had a delightfully growing reading list. This project provided a realistic taste of what conducting research is like, and it's hard work! Despite this, the entire experience helped me strategize for next year's dissertation, leaving me equally terrified as I am excited for the upcoming mini-dissertation. || This project started out feeling slow, particularly as one desires immediate progress with conducting/making. Patience with the team was valued, especially at the beginning. As we progressed, I enjoyed the creative aspect of designing an experiment with various variables and then implementing it in our survey, which was a satisfying process to reflect upon. I felt fortunate to work with a group sharing similar work ethic and mindset about the overall process, creating a smooth working environment with free-flowing ideas, mutual respect, and inspiration. They further motivated me, especially during occasional periods of apathy. Initially, I found an overwhelming amount of reading involved, and I was unsure where to begin. However, once immersed, one paper led to another, and soon I had a delightfully growing reading list. This project provided a realistic taste of what conducting research is like, and it's hard work! Despite this, the entire experience helped me strategize for next year's dissertation, leaving me equally terrified as I am excited for the upcoming mini-dissertation."
"Teamwork, Research Methods, Personal Growth",1,0.9614,"Initially, I believed that working in a group who did not know me at all would be incredibly daunting and overwhelming. However, after the first week, I felt much more comfortable working as a group as they were forgiving and patient with me submitting ideas and potential solutions to issues and roadblocks. However, that is not to say it was flawless as a lot of jargon and technical info such as data analysis went over all our heads, and we had no idea collectively how to approach these issues. At first, data analysis was overbearing with it always being in the back of my mind with no conceivable way on how to approach it or conduct it and I pushed it back throughout the entire dissertation process, ignoring it until last minute which really halted progress and forced me to learn how to conduct it in SPSS. Even throughout the analysis, I was holding onto the chance the analysis was wrong, and I did everything I could to make sure it was not, so I made too many stats in the end which were not added to the dissertation or open materials. Finally, designing and running the group Qualtrics survey and figuring out how to port it to excel and edit all the unimportant data really taught me a valuable lesson that psychological research is not instant or simple. Even coming out of it, the tasks are still daunting and soul-crushing looking back on it but now I can say I achieved what I set out to do with my group and we all performed as well as we could have done together. Not only has this survey taught me about the hardships of running a study but also how inconsistent the collection is as everyone will have different answers, some will answer the question wrong or misinterpret what the question says, giving vague answers or only answering with 'not sure/prefer not to say' for most questions. This ultimately made me feel more at ease when I participate in surveys because I know I'm not going to answer correctly but I now have the knowledge the researcher just wants the data. Overall, the mini-dissertation has made me a lot more confident in approaching the third-year dissertation by being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended. || Initially, I believed that working in a group who did not know me at all would be incredibly daunting and overwhelming. However, after the first week, I felt much more comfortable working as a group as they were forgiving and patient with me submitting ideas and potential solutions to issues and roadblocks. However, that is not to say it was flawless as a lot of jargon and technical info such as data analysis went over all our heads, and we had no idea collectively how to approach these issues. At first, data analysis was overbearing with it always being in the back of my mind with no conceivable way on how to approach it or conduct it and I pushed it back throughout the entire dissertation process, ignoring it until last minute which really halted progress and forced me to learn how to conduct it in SPSS. Even throughout the analysis, I was holding onto the chance the analysis was wrong, and I did everything I could to make sure it was not, so I made too many stats in the end which were not added to the dissertation or open materials. Finally, designing and running the group Qualtrics survey and figuring out how to port it to excel and edit all the unimportant data really taught me a valuable lesson that psychological research is not instant or simple. Even coming out of it, the tasks are still daunting and soul-crushing looking back on it but now I can say I achieved what I set out to do with my group and we all performed as well as we could have done together. Not only has this survey taught me about the hardships of running a study but also how inconsistent the collection is as everyone will have different answers, some will answer the question wrong or misinterpret what the question says, giving vague answers or only answering with 'not sure/prefer not to say' for most questions. This ultimately made me feel more at ease when I participate in surveys because I know I'm not going to answer correctly but I now have the knowledge the researcher just wants the data. Overall, the mini-dissertation has made me a lot more confident in approaching the third-year dissertation by being more outgoing with my design and potentially working with multiple collaborators for advice and assistance as well as going more in depth on a topic than initially intended."
"Teamwork, Research Skills, Adaptability",1,0.9938,"This Mini Dissertation was a good experience for me. I was lucky to be part of a group with three other highly engaged and motivated people who shared my enthusiasm for the project. We quickly formed a strong bond and effectively collaborated to generate ideas, support one another, and manage our workload efficiently. Our ability to coordinate meetings and discussions ensured that everyone stayed informed, even when one of us couldn't attend a lab session. We made it a priority to keep each other updated which demonstrated the importance of teamwork and communication. I enjoyed working in a group, as the Ethics application initially overwhelmed me with the workload, but we all worked together to submit it on time, making it less stressful. While we were told it might be difficult to get our target sample population, I was very proud of how efficiently we distributed our questionnaire and how quickly we gathered all the necessary responses. I found the templates on the VLE very useful for setting up a Qualtrics questionnaire and was surprised by how straightforward it was. However, data analysis was hard. Working with raw data in Excel was difficult due to my limited experience, but working with my team to analyze the data together made it manageable. The other challenge I faced was interpreting the data from SPSS. With many tables provided, I found it hard to determine which were most relevant for the lab report, therefore the results section took longer to write. Despite these challenges, I enjoyed conducting my research. This experience has improved my confidence in research design, data collection, and statistical analysis, which will be useful for my third-year dissertation. More importantly, I have also learned the significance of teamwork, adaptability, and problem-solving in research, which will help me in my future job. || This Mini Dissertation was a good experience for me. I was lucky to be part of a group with three other highly engaged and motivated people who shared my enthusiasm for the project. We quickly formed a strong bond and effectively collaborated to generate ideas, support one another, and manage our workload efficiently. Our ability to coordinate meetings and discussions ensured that everyone stayed informed, even when one of us couldn't attend a lab session. We made it a priority to keep each other updated which demonstrated the importance of teamwork and communication. I enjoyed working in a group, as the Ethics application initially overwhelmed me with the workload, but we all worked together to submit it on time, making it less stressful. While we were told it might be difficult to get our target sample population, I was very proud of how efficiently we distributed our questionnaire and how quickly we gathered all the necessary responses. I found the templates on the VLE very useful for setting up a Qualtrics questionnaire and was surprised by how straightforward it was. However, data analysis was hard. Working with raw data in Excel was difficult due to my limited experience, but working with my team to analyze the data together made it manageable. The other challenge I faced was interpreting the data from SPSS. With many tables provided, I found it hard to determine which were most relevant for the lab report, therefore the results section took longer to write. Despite these challenges, I enjoyed conducting my research. This experience has improved my confidence in research design, data collection, and statistical analysis, which will be useful for my third-year dissertation. More importantly, I have also learned the significance of teamwork, adaptability, and problem-solving in research, which will help me in my future job."
"Teamwork, Study Design, Perseverance",1,0.9345,"The mini-dissertation process presented several challenges, primarily due to group work involvement. Group members did not know each other personally before starting the project and were introverts, making it hard to build rapport and establish a common purpose. Initially, we struggled with social engagement, adopting a divide-and-conquer strategy for collaboration. Over time, we began supporting each other and working together more effectively. A significant challenge was our larger group size, making cohesive study design difficult. Additionally, we lacked a solid understanding of 2x2 ANOVA initially, which caused confusion.

   A crucial moment for me occurred when I missed a lab session, during which crucial design changes were made without my input. In my absence, other members took on main effects, leaving me with interactions. Once data collection concluded, our tutor recommended swapping one independent variable with one dependent variable to enhance clarity. This placed me in a challenging situation, as I had not been involved in selecting or applying the survey relevant to that part of the project. As a result, I analyzed a design in which I had only been partially involved.

   From this experience, I learned that designing a study is crucial and that a divide-and-conquer approach is not the best way to manage group work. If given another chance, I would choose to be more involved in every part of the project from the beginning. Despite these challenges, I feel good about my submission, and I am eager for the next year's project as I have learned a lot. I have already selected my project topic and met with my supervisor, who agreed with my proposal. I am filled with curiosity about my chosen subject and feel ready to take off the training wheels for the next stage. || The mini-dissertation process presented several challenges, primarily due to group work involvement. Group members did not know each other personally before starting the project and were introverts, making it hard to build rapport and establish a common purpose. Initially, we struggled with social engagement, adopting a divide-and-conquer strategy for collaboration. Over time, we began supporting each other and working together more effectively. A significant challenge was our larger group size, making cohesive study design difficult. Additionally, we lacked a solid understanding of 2x2 ANOVA initially, which caused confusion.

   A crucial moment for me occurred when I missed a lab session, during which crucial design changes were made without my input. In my absence, other members took on main effects, leaving me with interactions. Once data collection concluded, our tutor recommended swapping one independent variable with one dependent variable to enhance clarity. This placed me in a challenging situation, as I had not been involved in selecting or applying the survey relevant to that part of the project. As a result, I analyzed a design in which I had only been partially involved.

   From this experience, I learned that designing a study is crucial and that a divide-and-conquer approach is not the best way to manage group work. If given another chance, I would choose to be more involved in every part of the project from the beginning. Despite these challenges, I feel good about my submission, and I am eager for the next year's project as I have learned a lot. I have already selected my project topic and met with my supervisor, who agreed with my proposal. I am filled with curiosity about my chosen subject and feel ready to take off the training wheels for the next stage."
"Teamwork, Time Management, Personal Growth",1,0.9972,"The mini-dissertation was a group project conducted during the second year. In Term One, we designed an experiment for a 2x2 ANOVA; in Term Two, we executed the experiment and wrote the dissertation. It is essential to note that I previously attempted to complete the second year of this course but had to take a leave of absence due to health issues during the start of the second term. This was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. I found this a stressful experience. I believe I felt pressure because it was my second time trying to complete the project, and it was heavily weighted. However, I also discovered the project significantly easier than anticipated, and even enjoyable in parts, such as creating vignettes or learning about my chosen DV. I felt more confident on the second attempt due to familiarity with each section of the process. What alleviated my stress were staying organized and being early for each phase since I naturally take longer than others with certain aspects of work. The best parts of the project were the group I was in. All members were productive and interactive, so I never felt overwhelmed with work. We frequently met up to discuss the experiment outside of lab and had an active WhatsApp group. It was beneficial having a group to rely on when confused, and in return, I helped out the other members as well. We all chose similar DVs for this purpose, enabling us to share our favorite research articles. I understand that my experience was unusual. I believe that the group dynamic I received was partly due to luck but also because we communicated frequently and effectively. In a future project, I would choose to work with this group again as we were highly productive together, completing each section quickly. Initially, we had the opportunity to perform a within-subjects design (which meant we would need only around 30 participants), but decided because we were all very motivated to do a between groups design, which we believed would be more meaningful. I took an extended time to write up the dissertation, starting in the first term, and working on it consistently for a few hours every week until the deadline. I often underestimate how long it takes me to draft. However, this method does allow me enough time for each section, and I never felt rushed. I am satisfied with the final result, and hopefully, the grade will reflect the effort I put in. In conclusion, this assignment taught me a lot. Although the experience was stressful, I believe this is partly due to my personality and because any new endeavor with a deadline will be stressful. I made some good friends during this process and enjoyed certain sections. The most challenging part was writing up; however, I hope the work I put in this time will make it easier for the next one. This was completed using the Gibbs (1988) reflective account model. || The mini-dissertation was a group project conducted during the second year. In Term One, we designed an experiment for a 2x2 ANOVA; in Term Two, we executed the experiment and wrote the dissertation. It is essential to note that I previously attempted to complete the second year of this course but had to take a leave of absence due to health issues during the start of the second term. This was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. I found this a stressful experience. I believe I felt pressure because it was my second time trying to complete the project, and it was heavily weighted. However, I also discovered the project significantly easier than anticipated, and even enjoyable in parts, such as creating vignettes or learning about my chosen DV. I felt more confident on the second attempt due to familiarity with each section of the process. What alleviated my stress were staying organized and being early for each phase since I naturally take longer than others with certain aspects of work. The best parts of the project were the group I was in. All members were productive and interactive, so I never felt overwhelmed with work. We frequently met up to discuss the experiment outside of lab and had an active WhatsApp group. It was beneficial having a group to rely on when confused, and in return, I helped out the other members as well. We all chose similar DVs for this purpose, enabling us to share our favorite research articles. I understand that my experience was unusual. I believe that the group dynamic I received was partly due to luck but also because we communicated frequently and effectively. In a future project, I would choose to work with this group again as we were highly productive together, completing each section quickly. Initially, we had the opportunity to perform a within-subjects design (which meant we would need only around 30 participants), but decided because we were all very motivated to do a between groups design, which we believed would be more meaningful. I took an extended time to write up the dissertation, starting in the first term, and working on it consistently for a few hours every week until the deadline. I often underestimate how long it takes me to draft. However, this method does allow me enough time for each section, and I never felt rushed. I am satisfied with the final result, and hopefully, the grade will reflect the effort I put in. In conclusion, this assignment taught me a lot. Although the experience was stressful, I believe this is partly due to my personality and because any new endeavor with a deadline will be stressful. I made some good friends during this process and enjoyed certain sections. The most challenging part was writing up; however, I hope the work I put in this time will make it easier for the next one. This was completed using the Gibbs (1988) reflective account model."
"Teamwork, Time Management, Problem-Solving, Confidence",1,0.9969,"Engaging in group work was both rewarding and challenging, highlighting the need for effective communication, adaptability, and problem-solving. A key difficulty arose when a team member failed to contribute, leading to an uneven workload. Initially, I found this frustrating, but on reflection, I recognize that clearer role allocation and structured check-ins could have mitigated these issues. In future projects, I will be more proactive in addressing team dynamics, ensuring fair task distribution and earlier intervention when problems arise. While I initially found data analysis intimidating, working through it revealed unexpected strengths in problem-solving and quantitative reasoning. This experience boosted my confidence and has motivated me to engage more deeply with advanced statistical techniques for my dissertation. Delays in the ethics approval process were another challenge, consuming valuable time. However, this reinforced the importance of clear study design and effective time management. In future, I will plan buffer time for revisions and ensure ethical considerations are thoroughly addressed upfront. This experience has refined my critical thinking and teamwork skills, both of which will benefit my dissertation and future professional endeavors. Reflecting on these lessons, I now approach my final-year project with greater confidence, strategic awareness, and an improved research mindset. || Engaging in group work was both rewarding and challenging, highlighting the need for effective communication, adaptability, and problem-solving. A key difficulty arose when a team member failed to contribute, leading to an uneven workload. Initially, I found this frustrating, but on reflection, I recognize that clearer role allocation and structured check-ins could have mitigated these issues. In future projects, I will be more proactive in addressing team dynamics, ensuring fair task distribution and earlier intervention when problems arise. While I initially found data analysis intimidating, working through it revealed unexpected strengths in problem-solving and quantitative reasoning. This experience boosted my confidence and has motivated me to engage more deeply with advanced statistical techniques for my dissertation. Delays in the ethics approval process were another challenge, consuming valuable time. However, this reinforced the importance of clear study design and effective time management. In future, I will plan buffer time for revisions and ensure ethical considerations are thoroughly addressed upfront. This experience has refined my critical thinking and teamwork skills, both of which will benefit my dissertation and future professional endeavors. Reflecting on these lessons, I now approach my final-year project with greater confidence, strategic awareness, and an improved research mindset."
"Teamwork, Time Management, Research Design",1,0.9244,"From the beginning, the mini-dissertation group project felt extremely daunting. Decreased with time and experience. Group of 4 with a close bond helped massively as we understood each other well. Brainstormed many ideas, creativity flowed. Created fundamental ideas early on. Faced challenges due to illness and personal aspects, but tried my best to catch up. Group updated me and helped explain new additions. Experiment was in-person, had to recruit many people which took time. Distributed roles to tackle complexity. Overwhelmed with results, tension rose but quickly resolved with communication. Confused with some features of the experiment, frustrated with understanding. Mixed emotions creating investigation; moments of boredom, yet interest collecting varied results. Participants intrigued with aims, enthusiasm continued. Accomplishment completing project, more confidence for next year. RUNNING HEAD: Mini-Dissertation Project - A Personal Reflection (50 characters max) || From the beginning, the mini-dissertation group project felt extremely daunting. Decreased with time and experience. Group of 4 with a close bond helped massively as we understood each other well. Brainstormed many ideas, creativity flowed. Created fundamental ideas early on. Faced challenges due to illness and personal aspects, but tried my best to catch up. Group updated me and helped explain new additions. Experiment was in-person, had to recruit many people which took time. Distributed roles to tackle complexity. Overwhelmed with results, tension rose but quickly resolved with communication. Confused with some features of the experiment, frustrated with understanding. Mixed emotions creating investigation; moments of boredom, yet interest collecting varied results. Participants intrigued with aims, enthusiasm continued. Accomplishment completing project, more confidence for next year. RUNNING HEAD: Mini-Dissertation Project - A Personal Reflection (50 characters max)"
Technical Skills & Attitude towards Research,1,0.8209,"This process has taught me much about data collection and research. The sample within this research was not as large as initially thought due to people not completing the study or answering no to consent questions. In future, I will aim to place my research on platforms and encourage more participation. An unforeseen challenge was overthinking all possible confounding variables; however, this reduced the generalizability of certain elements of the research. For future reference, I will weigh up the generalizability of the study against confounding variables and possibly learn when to prioritize one over the other. Positives I have gained from this research include increased confidence in SPSS and a deeper understanding of literature. Initially skeptical about using SPSS, working with my own data set allowed me to experiment, fail at many statistical elements before settling on estimated marginal means with the 2x2 ANOVA A. Additionally, employing a broad scope of research enabled me to analyze it in ways I had not previously considered. It is acceptable for research to contradict what one is trying to find and view this as positive; finding research that contradicted my findings allowed me to generate new discussions and areas for future research. Originally, I believed that non-significant results did not inform the researcher as much as significant results, however, I now recognize this as incorrect. Non-significant results from my research have helped me understand how they point research in a new direction and do not indicate that the research was a waste of time. I enjoyed learning about my perspective on research and considering its real-world implications for the judicial system. In summary, I learned a great deal from this project regarding technical skills, but also recognize that my attitude towards research must change. || This process has taught me much about data collection and research. The sample within this research was not as large as initially thought due to people not completing the study or answering no to consent questions. In future, I will aim to place my research on platforms and encourage more participation. An unforeseen challenge was overthinking all possible confounding variables; however, this reduced the generalizability of certain elements of the research. For future reference, I will weigh up the generalizability of the study against confounding variables and possibly learn when to prioritize one over the other. Positives I have gained from this research include increased confidence in SPSS and a deeper understanding of literature. Initially skeptical about using SPSS, working with my own data set allowed me to experiment, fail at many statistical elements before settling on estimated marginal means with the 2x2 ANOVA A. Additionally, employing a broad scope of research enabled me to analyze it in ways I had not previously considered. It is acceptable for research to contradict what one is trying to find and view this as positive; finding research that contradicted my findings allowed me to generate new discussions and areas for future research. Originally, I believed that non-significant results did not inform the researcher as much as significant results, however, I now recognize this as incorrect. Non-significant results from my research have helped me understand how they point research in a new direction and do not indicate that the research was a waste of time. I enjoyed learning about my perspective on research and considering its real-world implications for the judicial system. In summary, I learned a great deal from this project regarding technical skills, but also recognize that my attitude towards research must change."
Time Management & Research Design,1,0.861,"When the mini dissertation project was initially announced, I felt lost. The possible studies that we were allowed to run or that were feasible to run in such a short period of time seemed bound to be boring. However, as weeks went by, we made progress. Approval of our Research Proposal by the Ethics Committee was exciting and liberating. Throughout the process, many barriers arose. We often missed one or two members during lab sessions, some of which were due to my illness throughout the school year. Playing catch-up was tiring. The common excuse of time management did not apply to me since I had and still have a very time-consuming extracurricular; there simply wasn't enough time in general to manage. Writing the mini-dissertation felt rushed. Sharing the questionnaire more with other Goldsmiths students could have helped us collect more data. The reach on Whatsapp is limited, and printing a QR code of our study and pinning it on notice boards would have been beneficial. As a final note, I look forward to investigating more adventurous topics next year. || When the mini dissertation project was initially announced, I felt lost. The possible studies that we were allowed to run or that were feasible to run in such a short period of time seemed bound to be boring. However, as weeks went by, we made progress. Approval of our Research Proposal by the Ethics Committee was exciting and liberating. Throughout the process, many barriers arose. We often missed one or two members during lab sessions, some of which were due to my illness throughout the school year. Playing catch-up was tiring. The common excuse of time management did not apply to me since I had and still have a very time-consuming extracurricular; there simply wasn't enough time in general to manage. Writing the mini-dissertation felt rushed. Sharing the questionnaire more with other Goldsmiths students could have helped us collect more data. The reach on Whatsapp is limited, and printing a QR code of our study and pinning it on notice boards would have been beneficial. As a final note, I look forward to investigating more adventurous topics next year."
"Time Management, Personal Growth, Skill Development (SPSS), Perseverance, Planning, Awareness",1,0.9022,"What a task; the mini dissertation was not easy. This was the most stressful piece of work given. The decision-making process was done with me and two coworkers. Challenges were faced during the write-up for this piece of work. I regret and am saddened by the piece of work created, although I am a bit happy I made this mini dissertation on my own. I should have asked for help earlier. Despite everything going on within my life, I struggled with the stats part, especially the SPSS part. I know I've done it wrong, but there is nothing I can do now. This has given me an insight into the actual one in third year, for which I need to take all lessons and shortcomings to do better. I hope I pass this. For the third year, I need to work on not letting life get in the way, take it step by step, and avoid accumulating tasks. I also need to work on my SPSS stats to reduce stress. Finally, I just need to be more aware and work accordingly. When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work. As I feel now with disappointment and acknowledgment of my shortcomings, I need to do better and will. I am serious about my education and career within this field. || What a task; the mini dissertation was not easy. This was the most stressful piece of work given. The decision-making process was done with me and two coworkers. Challenges were faced during the write-up for this piece of work. I regret and am saddened by the piece of work created, although I am a bit happy I made this mini dissertation on my own. I should have asked for help earlier. Despite everything going on within my life, I struggled with the stats part, especially the SPSS part. I know I've done it wrong, but there is nothing I can do now. This has given me an insight into the actual one in third year, for which I need to take all lessons and shortcomings to do better. I hope I pass this. For the third year, I need to work on not letting life get in the way, take it step by step, and avoid accumulating tasks. I also need to work on my SPSS stats to reduce stress. Finally, I just need to be more aware and work accordingly. When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work. As I feel now with disappointment and acknowledgment of my shortcomings, I need to do better and will. I am serious about my education and career within this field."
"Time Management, Research Design, Personal Growth",1,0.9777,"It was honestly reassuring to be in a group with others who, like me, had a lot going on outside of university. We understood each other's time pressures and this helped keep us motivated, even if it also meant a fair bit of last-minute scrambling. That said, I learned a lot from that. I went in with some quite narrow ideas about how to measure things, and it wasn't until I was deep in the process that I realized I needed to shift gears, and kind of make the most of what I had. So while the final version came together (somewhat) in the end, it definitely felt like I was piecing things together in real time, rather than having a clear vision from the beginning. Next year, I'm actually looking forward to approaching my dissertation with a clearer vision and structure right from the start. I've now got a much better sense of what works, what doesn't, and how much planning really helps. Also, no longer being intimidated by SPSS or Excel helps a lot. || It was honestly reassuring to be in a group with others who, like me, had a lot going on outside of university. We understood each other's time pressures and this helped keep us motivated, even if it also meant a fair bit of last-minute scrambling. That said, I learned a lot from that. I went in with some quite narrow ideas about how to measure things, and it wasn't until I was deep in the process that I realized I needed to shift gears, and kind of make the most of what I had. So while the final version came together (somewhat) in the end, it definitely felt like I was piecing things together in real time, rather than having a clear vision from the beginning. Next year, I'm actually looking forward to approaching my dissertation with a clearer vision and structure right from the start. I've now got a much better sense of what works, what doesn't, and how much planning really helps. Also, no longer being intimidated by SPSS or Excel helps a lot."
"Time Management, Teamwork, Academic Growth, Research Methods, Personal Development",1,0.9812,"2nd year Mini Dissertation task has been a valuable experience for me. It encouraged learning about time management, including setting a timeline and schedule to complete each step on time. I also learned the importance of teamwork and clear communication. As an international student, I developed tolerance and adapted to new people. The experiences and lessons will be essential skills for my academic journey and beyond. Conducting a study for the first time, analyzing and collecting data was an unforgettable learning journey. It fostered courage to ask questions and try various attempts to structure a research method report. It provided excitement to analyze a real-life study. I am now confident, excited, and eagerly await the opportunity to conduct the 3rd year dissertation project and continue learning in my academic journey. || 2nd year Mini Dissertation task has been a valuable experience for me. It encouraged learning about time management, including setting a timeline and schedule to complete each step on time. I also learned the importance of teamwork and clear communication. As an international student, I developed tolerance and adapted to new people. The experiences and lessons will be essential skills for my academic journey and beyond. Conducting a study for the first time, analyzing and collecting data was an unforgettable learning journey. It fostered courage to ask questions and try various attempts to structure a research method report. It provided excitement to analyze a real-life study. I am now confident, excited, and eagerly await the opportunity to conduct the 3rd year dissertation project and continue learning in my academic journey."
"Time Management, Teamwork, Data Analysis, Personal Growth",1,0.9177,"Throughout this project, I have learned to be logical and patient, among other things. My fascination with narcissism and the dark personality traits stemmed from first year when I explored manipulation for my extended essay. In this project, I got to test my own ideas in real life and get involved in exploring this dark side of personality. Thankfully, there were not many narcissists in our 2nd year labs; however, this was frustrating for data collection as it meant I had an extremely imbalanced sample and could not score the statements the usual way. This required problem-solving, and with the help of my lab tutor, we found a solution. Working in a team was another frustrating experience when trying to adapt a study for everyone; however, we made it work, and everyone collaborated with equal effort in the beginning to find middle ground. From this experience, I have learned that I value working with a team and sharing ideas, as some of the ideas I hadn't thought of. Even if some members stopped turning up, I think I could have made more of an effort to encourage them and give them reasons to keep making the effort they had initially. Furthermore, ANOVA was an accurate analysis to run; I feel confident in using this and would be happy to conduct an ANOVA again next year or explore something different. My biggest realization was that time management is essential - I started this project way in advance and did it in steps, which eased a lot of pressure and made it manageable. This allowed me to still enjoy the project throughout. For next year, I will be more confident using APA format, and this has been a great chance to put everything we have learned into real practice. As I submit, I feel overwhelmed with emotions - joy that it's complete but also sad that it is over as it has been such a journey. I want to continue more research into the dark personality traits. || Throughout this project, I have learned to be logical and patient, among other things. My fascination with narcissism and the dark personality traits stemmed from first year when I explored manipulation for my extended essay. In this project, I got to test my own ideas in real life and get involved in exploring this dark side of personality. Thankfully, there were not many narcissists in our 2nd year labs; however, this was frustrating for data collection as it meant I had an extremely imbalanced sample and could not score the statements the usual way. This required problem-solving, and with the help of my lab tutor, we found a solution. Working in a team was another frustrating experience when trying to adapt a study for everyone; however, we made it work, and everyone collaborated with equal effort in the beginning to find middle ground. From this experience, I have learned that I value working with a team and sharing ideas, as some of the ideas I hadn't thought of. Even if some members stopped turning up, I think I could have made more of an effort to encourage them and give them reasons to keep making the effort they had initially. Furthermore, ANOVA was an accurate analysis to run; I feel confident in using this and would be happy to conduct an ANOVA again next year or explore something different. My biggest realization was that time management is essential - I started this project way in advance and did it in steps, which eased a lot of pressure and made it manageable. This allowed me to still enjoy the project throughout. For next year, I will be more confident using APA format, and this has been a great chance to put everything we have learned into real practice. As I submit, I feel overwhelmed with emotions - joy that it's complete but also sad that it is over as it has been such a journey. I want to continue more research into the dark personality traits."
"Time Management, Teamwork, Planning, Research Design",1,0.8588,"Completing this mini dissertation offered valuable insights into conducting a study, time management, and teamwork. The experience of practicing group research work alleviated initial third-year dissertation apprehensions, although the mini dissertation topic did not directly relate to potential third-year topics. It was an engaging subject that facilitated effective literature search for specific projects. Completing this assignment highlighted the need for a clearer timeline in my final year dissertation as I initially progressed ahead of schedule but fell slightly behind during the final stages. This delay was due to our group's determination to reach our participant aim, extending data collection slightly. Additionally, technical issues such as my laptop breaking prevented me from using SPSS for specific analyses and figure manipulation, necessitating manual adjustments for descriptive statistics. Collaborating in a group proved beneficial, allowing for idea exchange, but caused confusion during the final stages and write-up, particularly with variables. In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted. Overall, I anticipate less stress when writing my real dissertation as I will plan it more effectively than this assignment, although I still have concerns about the write-up and result interpretation. However, I believe that by the end of my final year, I will be able to seek guidance from my supervisor when unsure, having learned from this paper. || Completing this mini dissertation offered valuable insights into conducting a study, time management, and teamwork. The experience of practicing group research work alleviated initial third-year dissertation apprehensions, although the mini dissertation topic did not directly relate to potential third-year topics. It was an engaging subject that facilitated effective literature search for specific projects. Completing this assignment highlighted the need for a clearer timeline in my final year dissertation as I initially progressed ahead of schedule but fell slightly behind during the final stages. This delay was due to our group's determination to reach our participant aim, extending data collection slightly. Additionally, technical issues such as my laptop breaking prevented me from using SPSS for specific analyses and figure manipulation, necessitating manual adjustments for descriptive statistics. Collaborating in a group proved beneficial, allowing for idea exchange, but caused confusion during the final stages and write-up, particularly with variables. In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted. Overall, I anticipate less stress when writing my real dissertation as I will plan it more effectively than this assignment, although I still have concerns about the write-up and result interpretation. However, I believe that by the end of my final year, I will be able to seek guidance from my supervisor when unsure, having learned from this paper."
